priority_order,normalized_word,learner_rank,candidate_key,sense_key,source_sense_id,source_synset_id,ili,lexical_entry_id,entry_lemma,entry_source_pos,synset_source_pos,part_of_speech,adjective_satellite,source_entry_order,source_sense_position,source_order_is_pedagogical,lexfile,definitions_en,examples_en,explicit_forms,pronunciations,synset_members,candidate_status
2,be,2,oewn:2025:oewn-be__2.42.03..,oewn:oewn-be__2.42.03..,oewn-be__2.42.03..,oewn-02610777-v,i34713,oewn-be-v,be,v,v,verb,false,26829,1,false,verb.stative,"[{""text"":""have the quality of being; (copula, used with an adjective or a predicate noun)"",""source_sense_id"":null}]","[{""text"":""John is rich"",""source"":null,""scope"":""synset""},{""text"":""This is not a good answer"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.06..,oewn:oewn-be__2.42.06..,oewn-be__2.42.06..,oewn-02622439-v,i34756,oewn-be-v,be,v,v,verb,false,26829,2,false,verb.stative,"[{""text"":""be identical to; be someone or something"",""source_sense_id"":null}]","[{""text"":""The president of the company is John Smith"",""source"":null,""scope"":""synset""},{""text"":""This is my house"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.05..,oewn:oewn-be__2.42.05..,oewn-be__2.42.05..,oewn-02661230-v,i34943,oewn-be-v,be,v,v,verb,false,26829,3,false,verb.stative,"[{""text"":""occupy a certain position or area; be somewhere"",""source_sense_id"":null}]","[{""text"":""Where is my umbrella?"",""source"":null,""scope"":""synset""},{""text"":""The toolshed is in the back"",""source"":null,""scope"":""synset""},{""text"":""What is behind this behavior?"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.00..,oewn:oewn-be__2.42.00..,oewn-be__2.42.00..,oewn-02609706-v,i34708,oewn-be-v,be,v,v,verb,false,26829,4,false,verb.stative,"[{""text"":""have an existence, be extant"",""source_sense_id"":null}]","[{""text"":""Is there a God?"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-exist-v"",""written_form"":""exist"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.07..,oewn:oewn-be__2.42.07..,oewn-be__2.42.07..,oewn-02670846-v,i34989,oewn-be-v,be,v,v,verb,false,26829,5,false,verb.stative,"[{""text"":""be identical or equivalent to"",""source_sense_id"":null}]","[{""text"":""One dollar equals 1,000 rubles these days!"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-equal-v"",""written_form"":""equal"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.02..,oewn:oewn-be__2.42.02..,oewn-be__2.42.02..,oewn-02626667-v,i34777,oewn-be-v,be,v,v,verb,false,26829,6,false,verb.stative,"[{""text"":""form or compose"",""source_sense_id"":null}]","[{""text"":""This money is my only income"",""source"":null,""scope"":""synset""},{""text"":""The stone wall was the backdrop for the performance"",""source"":null,""scope"":""synset""},{""text"":""These constitute my entire belonging"",""source"":null,""scope"":""synset""},{""text"":""The children made up the chorus"",""source"":null,""scope"":""synset""},{""text"":""This sum represents my entire income for a year"",""source"":null,""scope"":""synset""},{""text"":""These few men comprise his entire army"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-constitute-v"",""written_form"":""constitute"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-represent-v"",""written_form"":""represent"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-make_up-v"",""written_form"":""make up"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-comprise-v"",""written_form"":""comprise"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.41.00..,oewn:oewn-be__2.41.00..,oewn-be__2.41.00..,oewn-02450790-v,i33953,oewn-be-v,be,v,v,verb,false,26829,7,false,verb.social,"[{""text"":""work in a specific place, with a specific subject, or in a specific function"",""source_sense_id"":null}]","[{""text"":""He is a herpetologist"",""source"":null,""scope"":""synset""},{""text"":""She is our resident philosopher"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-follow-v"",""written_form"":""follow"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.08..,oewn:oewn-be__2.42.08..,oewn-be__2.42.08..,oewn-02703567-v,i35144,oewn-be-v,be,v,v,verb,false,26829,8,false,verb.stative,"[{""text"":""represent, as of a character on stage"",""source_sense_id"":null}]","[{""text"":""Derek Jacobi was Hamlet"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-embody-v"",""written_form"":""embody"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-personify-v"",""written_form"":""personify"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.40.00..,oewn:oewn-be__2.40.00..,oewn-be__2.40.00..,oewn-02273091-v,i33077,oewn-be-v,be,v,v,verb,false,26829,9,false,verb.possession,"[{""text"":""spend or use time"",""source_sense_id"":null}]","[{""text"":""I may be an hour"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""}]",unreviewed
2,be,2,oewn:2025:oewn-be__2.42.01..,oewn:oewn-be__2.42.01..,oewn-be__2.42.01..,oewn-02620216-v,i34743,oewn-be-v,be,v,v,verb,false,26829,10,false,verb.stative,"[{""text"":""have life, be alive"",""source_sense_id"":null}]","[{""text"":""Our great leader is no more"",""source"":null,""scope"":""synset""},{""text"":""My grandfather lived until the end of war"",""source"":null,""scope"":""synset""}]","[""am"",""are"",""been"",""is"",""was"",""were""]","[{""value"":""biː"",""variety"":""GB"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null},{""value"":""bi"",""variety"":""US"",""notation"":null,""phonemic"":null,""audio"":null,""scope"":""lemma"",""form"":null}]","[{""lexical_entry_id"":""oewn-be-v"",""written_form"":""be"",""source_pos"":""v""},{""lexical_entry_id"":""oewn-live-v"",""written_form"":""live"",""source_pos"":""v""}]",unreviewed
