issue,word,pos,english,vietnamese,row_id
definition_vi_cjk,frolf,noun,(rare) .,frolf (罕见的),2790731
definition_vi_cjk,baal-ha-bos,noun,(Judaism) .,(犹太教) .,2607310
definition_vi_cjk,sighfully,adverb,In a sighful manner.,sighfully (副词)以叹息的方式,3117814
definition_vi_cjk,suffrance,noun,(rare) .,. (khan用),3155419
definition_vi_cjk,sxt,noun,(star) .,(sao星) .,3163731
definition_vi_cjk,water-breaker,noun,(nautical) .,(航海) ,3243407
definition_vi_cjk,wind-suckers,noun,().,(罕见) .,3249969
definition_vi_cjk,badgeless,adjective,Without a badge.,没有徽章的,2609120
definition_vi_cjk,snoggable,adjective,kissable,可亲吻的。,3127473
definition_vi_cjk,disporic,adjective,Having two spores,Có hai孢子每有两个孢子的,2729980
definition_vi_cjk,disporous,adjective,(biology) Having two spores.,Có hai孢子每有两个孢子的,2729982
definition_vi_cjk,thalassoceratid,noun,(zoology) Any ammonite in the family .,(zooloジー学) bất kỳ loài 三叶虫在家族 中,3176496
definition_vi_cjk,divineness,noun,The quality of being divine; divinity.,神圣性；神性。,2731894
definition_vi_cjk,docosahexenoate,noun,(organic chemistry) Any salt or ester of docosahexenoic acid,docosahydrat (một hợp chất có hai十二碳水合物),2732661
definition_vi_cjk,doglock,noun,(firearms|historical) The lock that preceded the true flintlock in both rifles and pistols in the 17th century.,(súng火器，历史) 在17世纪，前真正的火石锁之前，在步枪和手枪中使用的扳机系统。,2733350
definition_vi_cjk,doink,verb,(US|slang|humorous|transitive) To have sex with.,"(Hoa Kỳ,俚语,滑稽,及物动词)与某人发生性关系。",2733504
definition_vi_cjk,doink,noun,(slang) A fool; a jerk; a worthless person.,(俚语)一个傻瓜；一个混蛋；一个无用的人。,2733506
definition_vi_cjk,thaumatopsyllioid,noun,Any crustacean of the order,Thaumatopsyllioid: 任何属于秩序的甲壳类动物,3176849
definition_vi_cjk,thaumatrope,noun,"An optical toy made of a card with an image on each side; when twirled, the images appear to combine.",Thaumatrope: 一种光学玩具，由一张卡片制成，每面都有一个图像；当旋转时，这些图像似乎会结合在一起。,3176850
definition_vi_cjk,thaumatrope,noun,A zoetrope.,Thaumatrope: 一种 zoetrope。,3176851
definition_vi_cjk,thaumatropic,adjective,Of or relating to a thaumatrope.,Thaumatropic: 与 thaumatrope 有关的。,3176852
