word,learner_rank,sense_order,sense_key,part_of_speech,definition_en,definition_vi,examples_en,examples_vi,definition_source,definition_source_version,definition_source_artifact_sha256,current_cefr_level,cefr_source,cefr_source_version,cefr_basis,pronunciation_candidates,current_status,known_gaps,semantic_decision,translation_decision,example_decision,cefr_decision,approved_cefr_level,pronunciation_decision,reviewer,reviewed_at,reviewer_notes
be,2,1,oewn:oewn-be__2.42.03..,verb,Used with an adjective or noun phrase to describe or classify someone or something.,dùng với tính từ hoặc cụm danh từ để mô tả hoặc phân loại người hay sự vật; trong tiếng Việt thường không cần dịch thành một từ riêng.,1. The room is quiet.,1. Căn phòng yên tĩnh.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: progressive and passive auxiliary uses of be require separately sourced grammar senses and human bilingual review.,,,,,,,,,
be,2,2,oewn:oewn-be__2.42.06..,verb,Used to say that one person or thing is the same as another.,là; dùng để đồng nhất một người hoặc sự vật với một người hoặc sự vật khác.,1. My English teacher is Lan.,1. Giáo viên tiếng Anh của tôi là Lan.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: progressive and passive auxiliary uses of be require separately sourced grammar senses and human bilingual review.,,,,,,,,,
be,2,3,oewn:oewn-be__2.42.05..,verb,To be located in a particular place.,"ở, nằm, có mặt tại một nơi.",1. Your keys are on the table.,1. Chìa khóa của bạn ở trên bàn.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: progressive and passive auxiliary uses of be require separately sourced grammar senses and human bilingual review.,,,,,,,,,
be,2,4,oewn:oewn-be__2.42.00..,verb,To exist.,tồn tại; có.,1. There is a small café near the station.,1. Có một quán cà phê nhỏ gần nhà ga.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: progressive and passive auxiliary uses of be require separately sourced grammar senses and human bilingual review.,,,,,,,,,
have,8,1,oewn:oewn-have__2.40.00..,verb,To possess something concrete or abstract as part of your life or situation.,"có, sở hữu.",1. I have a bicycle.,1. Tôi có một chiếc xe đạp.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: perfect-tense auxiliary have and have to require separately sourced grammar senses and human bilingual review.,,,,,,,,,
have,8,2,oewn:oewn-have__2.42.00..,verb,To include something as a feature or part.,có một đặc điểm hoặc bộ phận nào đó.,1. The house has three bedrooms.,1. Ngôi nhà có ba phòng ngủ.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: perfect-tense auxiliary have and have to require separately sourced grammar senses and human bilingual review.,,,,,,,,,
have,8,3,oewn:oewn-have__2.39.06..,verb,"To experience a feeling, thought, or physical state.","có, cảm thấy hoặc trải qua một trạng thái tinh thần hay thể chất.",1. I had a strange feeling.,1. Tôi đã có một cảm giác lạ.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: perfect-tense auxiliary have and have to require separately sourced grammar senses and human bilingual review.,,,,,,,,,
have,8,4,oewn:oewn-have__2.34.00..,verb,To eat or drink something.,"ăn, uống, dùng.",1. We had soup for lunch.,1. Chúng tôi ăn súp vào bữa trưa.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: perfect-tense auxiliary have and have to require separately sourced grammar senses and human bilingual review.,,,,,,,,,
do,21,1,oewn:oewn-do__2.36.01..,verb,"To perform an action, activity, or piece of work.","làm, thực hiện một hành động, hoạt động hoặc công việc.",1. The children did their homework after dinner.,1. Bọn trẻ làm bài tập về nhà sau bữa tối.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense. This entry remains incomplete: question, negative, emphatic, and substitute auxiliary uses of do require separately sourced grammar senses and human bilingual review.",,,,,,,,,
say,30,1,oewn:oewn-say__2.32.00..,verb,To express something in words.,"nói, diễn đạt bằng lời.",1. Please say your name clearly.,1. Vui lòng nói rõ tên của bạn.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
