word,frequency_rank,definition_order,pos,level,definition_en,definition_vi,pronunciations,example_en,example_vi
be,,1,verb,beginner,(auxiliary),"(bất qui tắc) nội động từ & trợ động từ (số ít was , số nhiều were , been )",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,The dog was saved by the boy.,Con chó được cứu bởi cậu bé.
be,,2,verb,beginner,(auxiliary),"thì, là",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,The dog was saved by the boy.,Con chó được cứu bởi cậu bé.
be,,3,verb,beginner,(formal),"có, tồn tại, ở, sống",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,I am to leave tomorrow.,Tôi sẽ rời đi vào ngày mai.
be,,4,verb,beginner,(formal),"trở nên, trở thành",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,I am to leave tomorrow.,Tôi sẽ rời đi vào ngày mai.
be,,5,verb,beginner,"(AAVE|Caribbean|Ireland|auxiliary|not conjugated) To tend to do, often do;","xảy ra, diễn ra",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
be,,6,verb,beginner,"(AAVE|Caribbean|Ireland|auxiliary|not conjugated) To tend to do, often do;",khó ở,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
be,,7,verb,beginner,(with To exist.,kinh sợ,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,There is just one woman in town who can help us.,Trong thị trấn này chỉ có một phụ nữ có thể giúp chúng tôi.
be,,8,verb,beginner,(with To exist.,rét thấu xương,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,There is just one woman in town who can help us.,Trong thị trấn này chỉ có một phụ nữ có thể giúp chúng tôi.
be,,9,verb,beginner,(with To exist.,rộng,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,There is just one woman in town who can help us.,Trong thị trấn này chỉ có một phụ nữ có thể giúp chúng tôi.
be,,10,verb,beginner,(with To exist.,từc,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,There is just one woman in town who can help us.,Trong thị trấn này chỉ có một phụ nữ có thể giúp chúng tôi.
