priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,match_status,exact_entry_lemmas,exact_lexical_entry_ids,casefold_only_entry_lemmas,semantic_alignment_status,exact_lexical_entry_count,source_sense_count,requires_human_sense_selection,rank_source,rank_source_version,rank_source_url,rank_source_license
1,the,1,"[""ngsl-core""]","[""the""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
2,be,2,"[""ngsl-core""]","[""be""]",matched,"[""be""]","[""oewn-be-v""]","[""Be""]",unreviewed,1,12,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
3,and,3,"[""ngsl-core""]","[""and""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
4,of,4,"[""ngsl-core""]","[""of""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
5,to,5,"[""ngsl-core""]","[""to""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
6,a,6,"[""ngsl-core""]","[""a""]",matched,"[""a""]","[""oewn-a-n""]","[""A""]",unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
7,in,7,"[""ngsl-core""]","[""in""]",matched,"[""in""]","[""oewn-in-a"",""oewn-in-n"",""oewn-in-r""]","[""In""]",unreviewed,3,5,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
8,have,8,"[""ngsl-core""]","[""have""]",matched,"[""have""]","[""oewn-have-n"",""oewn-have-v""]",[],unreviewed,2,19,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
9,it,9,"[""ngsl-core""]","[""it""]",case_collision,[],[],"[""IT""]",unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
10,you,10,"[""ngsl-core""]","[""you""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
