dsd_entry_id,headword,part_of_speech_expectation,dsd_priority,dsd_band,product_rationale,author_contributor_id,authored_date,inventory_evidence_id,declaration_id
10000000-0000-4000-8000-000000000001,accept,verb,1,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000002,arrive,verb,2,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000003,ask,verb,3,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000004,begin,verb,4,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000005,borrow,verb,5,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000006,bring,verb,6,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000007,build,verb,7,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000008,buy,verb,8,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000009,call,verb,9,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000010,carry,verb,10,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000011,choose,verb,11,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000012,clean,verb,12,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000013,close,verb,13,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000014,cook,verb,14,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000015,decide,verb,15,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000016,drink,verb,16,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000017,drive,verb,17,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000018,eat,verb,18,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000019,explain,verb,19,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
